Document_ID,Document_Name,Source_Format,Location,Skills_Using_It,Agent,Category
REF-GEC-08,s2-alejandro-herrera-analisis-perdidas-globales.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-09,s3-nicolas-luders-digital-asset-models.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-10,s3-hugo-barrientos-gabinete-smart-gemelo-digital.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-11,s3-jose-nayhua-simulador-ia-gemelo-digital.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-12,s4-rodrigo-chavez-sqm-lithium-process-optimization.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-13,s4-rodrigo-chavez-sqm-repairables-strategy.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-14,s4-jorge-martinez-chatbot-experto-sqm.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-15,s5-patricio-ortiz-conmon-optimization-ai.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-16,s5-erick-parra-generative-ai-hydraulic-shovels.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-17,s5-erick-parra-unified-data-repository.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-18,s5-viviana-meruane-predictive-maintenance-ai.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-19,s6-cristian-ramirez-asset-health-index-sqm.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-20,s6-jean-campos-797f-engine-prediction.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-21,s6-roberto-verdugo-mining-4.0-shutdowns.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-22,s7-eduardo-ingegneri-autonomous-diagnostics.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-23,s7-gonzalo-saldano-realtime-conmon-molymet.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-24,s8-carlo-lobiano-soma-codelco-el-teniente.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-25,s9-jorge-hidalgo-codelco-unique-data.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-26,s10-cristian-freire-estandar-repuestos-mantenimiento.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-27,s10-rodrigo-ortiz-monitoreo-salud-estructuras.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-28,s11-sergio-garcia-myriam-gestion-activos-ia-generativa.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-29,s11-rodrigo-vergara-ai-detector-anomalias-chancadores.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-30,s12-maintenance-planning-best-practices.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-31,s12-spare-parts-management-strategies.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-32,s12-fleet-management-optimization.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-33,s12-maintenance-kpi-frameworks.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-34,s13-change-management-maintenance-systems.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-35,s13-reliability-centered-culture.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-36,s13-workforce-competency-development.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-37,s13-maintenance-maturity-assessment.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-38,s14-predictive-analytics-case-studies.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-39,s14-machine-learning-fault-detection.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-40,s14-vibration-analysis-advanced-techniques.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-41,s14-oil-analysis-trending-methods.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-42,s15-corrosion-management-coastal-mines.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-43,s15-structural-health-monitoring-systems.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-44,s15-conveyor-belt-maintenance-innovation.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-45,s15-grinding-mill-liner-optimization.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-46,s16-energy-efficiency-maintenance-link.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-47,s16-sustainability-asset-management.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-48,s16-water-management-equipment-impact.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-49,s17-autonomous-equipment-maintenance.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-50,s17-drone-inspection-mining-assets.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-51,s17-robotic-maintenance-applications.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-52,s18-safety-critical-maintenance-procedures.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-53,s18-lockout-tagout-digital-management.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-54,s18-risk-based-inspection-mining.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-55,poster-condition-monitoring-innovations.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-56,poster-reliability-growth-analysis.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-57,poster-maintenance-cost-benchmarking.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-GEC-58,poster-lubrication-excellence-program.md,PDF,00-knowledge-base/competitive/gecamin/,orchestrate-workflow,Orchestrator,Competitive
REF-09,ref-09-iso-55002-compliance-mapping.md,PDF,00-knowledge-base/strategic/,orchestrate-workflow;validate-quality,Multiple,Strategic
REF-12,ref-12-strategic-recommendations.md,PDF,00-knowledge-base/strategic/,orchestrate-workflow;conduct-management-review,Multiple,Strategic
REF-17,ref-17-methodology-gap-analysis-roadmap.md,PDF,00-knowledge-base/strategic/,orchestrate-workflow,Orchestrator,Strategic
REF-WI-01,field-to-structured-mapping.md,MD,01-work-identification/identify-work-request/references/,identify-work-request,Orchestrator,Work Identification
